country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,CN,IN,,9800.0,0.0,NH3_Storage_[CN]
KR,CN,IN,,9800.0,0.0,NH3_to_EL_[CN]
KR,CN,IN,,9800.0,0.0,NH3_to_HTH_[CN]
KR,CN,IN,,9800.0,0.2,FF_to_HTH_[CN]
KR,CN,IN,,9800.0,0.0,EL_Demand_[CN]
KR,CN,IN,,9800.0,0.0,HTH_Demand_[CN]
KR,CN,IN,,9800.0,6.2,RE_PV_Openfield_Lim_[IN]
KR,CN,IN,,9800.0,0.0,RE_PV_Rooftop_Lim_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_0_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,CN,IN,,9800.0,1.5,HYDRO_[IN]
KR,CN,IN,,9800.0,37.7,PP_CO2_[IN]
KR,CN,IN,,9800.0,0.3,BESS_[IN]
KR,CN,IN,,9800.0,0.1,EL_to_HTH_[IN]
KR,CN,IN,,9800.0,0.0,EL_to_NH3_[IN]
KR,CN,IN,,9800.0,0.3,NH3_Storage_[IN]
KR,CN,IN,,9800.0,0.4,NH3_to_EL_[IN]
KR,CN,IN,,9800.0,0.0,NH3_to_HTH_[IN]
KR,CN,IN,,9800.0,0.1,FF_to_HTH_[IN]
KR,CN,IN,,9800.0,0.0,EL_Demand_[IN]
KR,CN,IN,,9800.0,0.0,HTH_Demand_[IN]
KR,CN,IN,,9800.0,2.5,RE_PV_Openfield_Lim_[KR]
KR,CN,IN,,9800.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CN,IN,,9800.0,7.0,RE_WIND_Onshore_Lim_0_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,CN,IN,,9800.0,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,CN,IN,,9800.0,0.1,HYDRO_[KR]
KR,CN,IN,,9800.0,7.6,PP_CO2_[KR]
KR,CN,IN,,9800.0,0.3,BESS_[KR]
KR,CN,IN,,9800.0,0.3,EL_to_HTH_[KR]
KR,CN,IN,,9800.0,0.0,EL_to_NH3_[KR]
KR,CN,IN,,9800.0,0.0,NH3_Storage_[KR]
KR,CN,IN,,9800.0,0.0,NH3_to_EL_[KR]
KR,CN,IN,,9800.0,0.0,NH3_to_HTH_[KR]
KR,CN,IN,,9800.0,2.5,FF_to_HTH_[KR]
KR,CN,IN,,9800.0,0.0,EL_Demand_[KR]
KR,CN,IN,,9800.0,0.0,HTH_Demand_[KR]
KR,CN,IN,,8733.3,1.4,RE_PV_Openfield_Lim_[CN]
KR,CN,IN,,8733.3,0.0,RE_PV_Rooftop_Lim_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_0_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_1_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_2_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_3_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_4_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_5_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_6_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_7_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_8_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_9_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_0_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_1_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_2_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_3_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_4_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_5_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_6_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_7_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_8_[CN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_9_[CN]
KR,CN,IN,,8733.3,9.9,HYDRO_[CN]
KR,CN,IN,,8733.3,60.4,PP_CO2_[CN]
KR,CN,IN,,8733.3,0.1,BESS_[CN]
KR,CN,IN,,8733.3,0.1,EL_to_HTH_[CN]
KR,CN,IN,,8733.3,0.0,EL_to_NH3_[CN]
KR,CN,IN,,8733.3,0.0,NH3_Storage_[CN]
KR,CN,IN,,8733.3,0.0,NH3_to_EL_[CN]
KR,CN,IN,,8733.3,0.0,NH3_to_HTH_[CN]
KR,CN,IN,,8733.3,0.2,FF_to_HTH_[CN]
KR,CN,IN,,8733.3,0.0,EL_Demand_[CN]
KR,CN,IN,,8733.3,0.0,HTH_Demand_[CN]
KR,CN,IN,,8733.3,8.7,RE_PV_Openfield_Lim_[IN]
KR,CN,IN,,8733.3,0.0,RE_PV_Rooftop_Lim_[IN]
KR,CN,IN,,8733.3,8.1,RE_WIND_Onshore_Lim_0_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,CN,IN,,8733.3,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,CN,IN,,8733.3,1.5,HYDRO_[IN]
KR,CN,IN,,8733.3,32.0,PP_CO2_[IN]
KR,CN,IN,,8733.3,0.1,BESS_[IN]
KR,CN,IN,,8733.3,0.1,EL_to_HTH_[IN]
KR,CN,IN,,8733.3,0.0,EL_to_NH3_[IN]
KR,CN,IN,,8733.3,0.2,NH3_Storage_[IN]
KR,CN,IN,,8733.3,0.2,NH3_to_EL_[IN]
KR,CN,IN,,8733.3,0.0,NH3_to_HTH_[IN]
KR,CN,IN,,8733.3,0.1,FF_to_HTH_[IN]
