country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PE,CL,,,4.9,0.0,NH3_Storage_[PE]
PE,CL,,,4.9,0.0,NH3_to_EL_[PE]
PE,CL,,,4.9,0.0,NH3_to_HTH_[PE]
PE,CL,,,4.9,0.4,FF_to_HTH_[PE]
PE,CL,,,4.9,0.0,EL_Demand_[PE]
PE,CL,,,4.9,0.0,HTH_Demand_[PE]
PE,CL,,,4.0,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,4.0,1.6,RE_WIND_Onshore_Lim_0_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_1_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_2_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_3_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_4_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_5_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_6_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_7_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_8_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_9_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_0_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_1_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_2_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_3_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_4_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_5_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_6_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_7_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_8_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_9_[CL]
PE,CL,,,4.0,0.1,HYDRO_[CL]
PE,CL,,,4.0,0.0,PP_CO2_[CL]
PE,CL,,,4.0,0.0,BESS_[CL]
PE,CL,,,4.0,0.2,EL_to_HTH_[CL]
PE,CL,,,4.0,0.0,EL_to_NH3_[CL]
PE,CL,,,4.0,0.0,NH3_Storage_[CL]
PE,CL,,,4.0,0.0,NH3_to_EL_[CL]
PE,CL,,,4.0,0.0,NH3_to_HTH_[CL]
PE,CL,,,4.0,0.2,FF_to_HTH_[CL]
PE,CL,,,4.0,0.0,EL_Demand_[CL]
PE,CL,,,4.0,0.0,HTH_Demand_[CL]
PE,CL,,,4.0,0.2,RE_PV_Openfield_Lim_[PE]
PE,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,4.0,2.3,RE_WIND_Onshore_Lim_0_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,CL,,,4.0,0.1,RE_WIND_Offshore_Lim_0_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,CL,,,4.0,0.1,HYDRO_[PE]
PE,CL,,,4.0,0.2,PP_CO2_[PE]
PE,CL,,,4.0,0.0,BESS_[PE]
PE,CL,,,4.0,0.1,EL_to_HTH_[PE]
PE,CL,,,4.0,0.0,EL_to_NH3_[PE]
PE,CL,,,4.0,0.0,NH3_Storage_[PE]
PE,CL,,,4.0,0.0,NH3_to_EL_[PE]
PE,CL,,,4.0,0.0,NH3_to_HTH_[PE]
PE,CL,,,4.0,0.3,FF_to_HTH_[PE]
PE,CL,,,4.0,0.0,EL_Demand_[PE]
PE,CL,,,4.0,0.0,HTH_Demand_[PE]
PE,CL,,,3.2,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,3.2,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,3.2,1.6,RE_WIND_Onshore_Lim_0_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_1_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_2_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_3_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_4_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_5_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_6_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_7_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_8_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_9_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_0_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_1_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_2_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_3_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_4_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_5_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_6_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_7_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_8_[CL]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_9_[CL]
PE,CL,,,3.2,0.1,HYDRO_[CL]
PE,CL,,,3.2,0.0,PP_CO2_[CL]
PE,CL,,,3.2,0.0,BESS_[CL]
PE,CL,,,3.2,0.2,EL_to_HTH_[CL]
PE,CL,,,3.2,0.0,EL_to_NH3_[CL]
PE,CL,,,3.2,0.0,NH3_Storage_[CL]
PE,CL,,,3.2,0.0,NH3_to_EL_[CL]
PE,CL,,,3.2,0.0,NH3_to_HTH_[CL]
PE,CL,,,3.2,0.2,FF_to_HTH_[CL]
PE,CL,,,3.2,0.0,EL_Demand_[CL]
PE,CL,,,3.2,0.0,HTH_Demand_[CL]
PE,CL,,,3.2,0.2,RE_PV_Openfield_Lim_[PE]
PE,CL,,,3.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,3.2,2.2,RE_WIND_Onshore_Lim_0_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,CL,,,3.2,0.2,RE_WIND_Offshore_Lim_0_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,CL,,,3.2,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,CL,,,3.2,0.1,HYDRO_[PE]
PE,CL,,,3.2,0.2,PP_CO2_[PE]
PE,CL,,,3.2,0.1,BESS_[PE]
PE,CL,,,3.2,0.1,EL_to_HTH_[PE]
PE,CL,,,3.2,0.0,EL_to_NH3_[PE]
PE,CL,,,3.2,0.0,NH3_Storage_[PE]
PE,CL,,,3.2,0.0,NH3_to_EL_[PE]
PE,CL,,,3.2,0.0,NH3_to_HTH_[PE]
PE,CL,,,3.2,0.2,FF_to_HTH_[PE]
PE,CL,,,3.2,0.0,EL_Demand_[PE]
PE,CL,,,3.2,0.0,HTH_Demand_[PE]
PE,CL,,,2.4,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,2.4,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,2.4,1.6,RE_WIND_Onshore_Lim_0_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_1_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_2_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_3_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_4_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_5_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_6_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_7_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_8_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_9_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_0_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_1_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_2_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_3_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_4_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_5_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_6_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_7_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_8_[CL]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_9_[CL]
PE,CL,,,2.4,0.1,HYDRO_[CL]
PE,CL,,,2.4,0.0,PP_CO2_[CL]
PE,CL,,,2.4,0.0,BESS_[CL]
PE,CL,,,2.4,0.1,EL_to_HTH_[CL]
PE,CL,,,2.4,0.0,EL_to_NH3_[CL]
PE,CL,,,2.4,0.0,NH3_Storage_[CL]
PE,CL,,,2.4,0.0,NH3_to_EL_[CL]
PE,CL,,,2.4,0.0,NH3_to_HTH_[CL]
PE,CL,,,2.4,0.2,FF_to_HTH_[CL]
PE,CL,,,2.4,0.0,EL_Demand_[CL]
PE,CL,,,2.4,0.0,HTH_Demand_[CL]
PE,CL,,,2.4,0.2,RE_PV_Openfield_Lim_[PE]
PE,CL,,,2.4,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,2.4,2.1,RE_WIND_Onshore_Lim_0_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,CL,,,2.4,0.3,RE_WIND_Offshore_Lim_0_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,CL,,,2.4,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,CL,,,2.4,0.1,HYDRO_[PE]
PE,CL,,,2.4,0.1,PP_CO2_[PE]
PE,CL,,,2.4,0.3,BESS_[PE]
PE,CL,,,2.4,0.1,EL_to_HTH_[PE]
PE,CL,,,2.4,0.0,EL_to_NH3_[PE]
PE,CL,,,2.4,0.0,NH3_Storage_[PE]
PE,CL,,,2.4,0.0,NH3_to_EL_[PE]
PE,CL,,,2.4,0.0,NH3_to_HTH_[PE]
PE,CL,,,2.4,0.2,FF_to_HTH_[PE]
PE,CL,,,2.4,0.0,EL_Demand_[PE]
PE,CL,,,2.4,0.0,HTH_Demand_[PE]
PE,CL,,,1.6,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,1.6,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,1.6,1.7,RE_WIND_Onshore_Lim_0_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_1_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_2_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_3_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_4_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_5_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_6_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_7_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_8_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_9_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_0_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_1_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_2_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_3_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_4_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_5_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_6_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_7_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_8_[CL]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_9_[CL]
PE,CL,,,1.6,0.1,HYDRO_[CL]
PE,CL,,,1.6,0.0,PP_CO2_[CL]
PE,CL,,,1.6,0.0,BESS_[CL]
PE,CL,,,1.6,0.1,EL_to_HTH_[CL]
PE,CL,,,1.6,0.0,EL_to_NH3_[CL]
PE,CL,,,1.6,0.0,NH3_Storage_[CL]
PE,CL,,,1.6,0.0,NH3_to_EL_[CL]
PE,CL,,,1.6,0.0,NH3_to_HTH_[CL]
PE,CL,,,1.6,0.1,FF_to_HTH_[CL]
PE,CL,,,1.6,0.0,EL_Demand_[CL]
PE,CL,,,1.6,0.0,HTH_Demand_[CL]
PE,CL,,,1.6,0.1,RE_PV_Openfield_Lim_[PE]
PE,CL,,,1.6,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,1.6,2.1,RE_WIND_Onshore_Lim_0_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,CL,,,1.6,0.4,RE_WIND_Offshore_Lim_0_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,CL,,,1.6,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,CL,,,1.6,0.1,HYDRO_[PE]
PE,CL,,,1.6,0.1,PP_CO2_[PE]
PE,CL,,,1.6,0.3,BESS_[PE]
PE,CL,,,1.6,0.1,EL_to_HTH_[PE]
PE,CL,,,1.6,0.1,EL_to_NH3_[PE]
PE,CL,,,1.6,0.1,NH3_Storage_[PE]
PE,CL,,,1.6,0.0,NH3_to_EL_[PE]
PE,CL,,,1.6,0.0,NH3_to_HTH_[PE]
PE,CL,,,1.6,0.1,FF_to_HTH_[PE]
PE,CL,,,1.6,0.0,EL_Demand_[PE]
PE,CL,,,1.6,0.0,HTH_Demand_[PE]
PE,CL,,,0.8,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,0.8,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,0.8,1.8,RE_WIND_Onshore_Lim_0_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_1_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_2_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_3_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_4_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_5_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_6_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_7_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_8_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_9_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_0_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_1_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_2_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_3_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_4_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_5_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_6_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_7_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_8_[CL]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_9_[CL]
PE,CL,,,0.8,0.0,HYDRO_[CL]
PE,CL,,,0.8,0.0,PP_CO2_[CL]
PE,CL,,,0.8,0.0,BESS_[CL]
PE,CL,,,0.8,0.1,EL_to_HTH_[CL]
PE,CL,,,0.8,0.0,EL_to_NH3_[CL]
PE,CL,,,0.8,0.1,NH3_Storage_[CL]
PE,CL,,,0.8,0.0,NH3_to_EL_[CL]
PE,CL,,,0.8,0.0,NH3_to_HTH_[CL]
PE,CL,,,0.8,0.1,FF_to_HTH_[CL]
PE,CL,,,0.8,0.0,EL_Demand_[CL]
PE,CL,,,0.8,0.0,HTH_Demand_[CL]
PE,CL,,,0.8,0.1,RE_PV_Openfield_Lim_[PE]
PE,CL,,,0.8,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,0.8,2.1,RE_WIND_Onshore_Lim_0_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,CL,,,0.8,0.5,RE_WIND_Offshore_Lim_0_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,CL,,,0.8,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,CL,,,0.8,0.1,HYDRO_[PE]
PE,CL,,,0.8,0.0,PP_CO2_[PE]
PE,CL,,,0.8,0.4,BESS_[PE]
PE,CL,,,0.8,0.1,EL_to_HTH_[PE]
PE,CL,,,0.8,0.1,EL_to_NH3_[PE]
PE,CL,,,0.8,0.1,NH3_Storage_[PE]
PE,CL,,,0.8,0.0,NH3_to_EL_[PE]
PE,CL,,,0.8,0.0,NH3_to_HTH_[PE]
PE,CL,,,0.8,0.1,FF_to_HTH_[PE]
PE,CL,,,0.8,0.0,EL_Demand_[PE]
PE,CL,,,0.8,0.0,HTH_Demand_[PE]
